extract_record_id,source_id,source_row_number,source_line_number,source_row_sha256,source_cell,item_number,evidence_type,category_raw,technology_raw,resolution_status
XT000001,SRC001,1,3,305d1f1492f53a431ec0951ff3379e77d3b8f9732de2586943af5bed8273717b,direct_technology,1,DIRECT,AI Transformation / AX Consulting,"AI Transformation (AI 전략 수립, 도입, 교육까지 AI 전환 전 과정 지원)",unresolved
XT000002,SRC001,1,3,305d1f1492f53a431ec0951ff3379e77d3b8f9732de2586943af5bed8273717b,direct_technology,2,DIRECT,AI Transformation / AX Consulting,"End-to-End AX Consulting (기업 맞춤형, Data·AI·BI·Low-code/Automation을 연결하는 전환 지원)",unresolved
XT000003,SRC001,1,3,305d1f1492f53a431ec0951ff3379e77d3b8f9732de2586943af5bed8273717b,direct_technology,3,DIRECT,AI Transformation / AX Consulting,"AX (산업과 부서를 넘어 확장, 비즈니스 성과 지향)",unresolved
XT000004,SRC001,1,3,305d1f1492f53a431ec0951ff3379e77d3b8f9732de2586943af5bed8273717b,direct_technology,4,DIRECT,AI Transformation / AX Consulting,전사적 데이터 활용 체계 구축 (기업 전체 데이터 활용 기반),unresolved
XT000005,SRC001,1,3,305d1f1492f53a431ec0951ff3379e77d3b8f9732de2586943af5bed8273717b,direct_technology,5,DIRECT,AI Transformation / AX Consulting,기업 규모·도입 목적별 적용 사례 및 Consulting,unresolved
XT000006,SRC001,1,3,305d1f1492f53a431ec0951ff3379e77d3b8f9732de2586943af5bed8273717b,direct_technology,6,DIRECT,AI Transformation / AX Consulting,다양한 산업군 적용,unresolved
XT000007,SRC001,1,3,305d1f1492f53a431ec0951ff3379e77d3b8f9732de2586943af5bed8273717b,direct_technology,7,DIRECT,AI Transformation / AX Consulting,도입 전·후 고객 맞춤형 지원,unresolved
XT000008,SRC001,1,3,305d1f1492f53a431ec0951ff3379e77d3b8f9732de2586943af5bed8273717b,direct_technology,8,DIRECT,AI Transformation / AX Consulting,Enterprise Architecture 적용 흐름 (업무 시스템/원천 데이터 → Data Integration → 저장·통합 → 분석 Data Platform → BI·AI → 사용자 서비스 → 업무 자동화),unresolved
XT000009,SRC001,1,3,305d1f1492f53a431ec0951ff3379e77d3b8f9732de2586943af5bed8273717b,direct_technology,9,DIRECT,AI Transformation / AX Consulting,"RISE with SAP + Azure 연계 사례 (삼성물산: 국내 맞춤형 On-Premise ERP → 글로벌 표준 Cloud ERP, 이후 Power Platform 현장업무 개선·Azure 서비스 확장 기반)",unresolved
XT000010,SRC001,1,3,305d1f1492f53a431ec0951ff3379e77d3b8f9732de2586943af5bed8273717b,direct_technology,10,DIRECT,AI Transformation / AX Consulting,"확인된 AX 성과 범주 (수작업·데이터 요청 감소, 분석·보고 적시성 향상, Self-Service 확대, 글로벌 프로세스 표준화, IT 운영효율 향상)",unresolved
