extract_record_id,source_id,source_row_number,source_line_number,source_row_sha256,category_raw,direct_cell_raw,flow_cell_raw,indirect_cell_raw,company_resolution_status,usecase_resolution_status
XU00001,SRC001,1,3,305d1f1492f53a431ec0951ff3379e77d3b8f9732de2586943af5bed8273717b,AI Transformation / AX Consulting,"AI Transformation (AI 전략 수립, 도입, 교육까지 AI 전환 전 과정 지원)  <br>  <br>End-to-End AX Consulting (기업 맞춤형, Data·AI·BI·Low-code/Automation을 연결하는 전환 지원)  <br>  <br>AX (산업과 부서를 넘어 확장, 비즈니스 성과 지향)  <br>  <br>전사적 데이터 활용 체계 구축 (기업 전체 데이터 활용 기반)  <br>  <br>기업 규모·도입 목적별 적용 사례 및 Consulting  <br>  <br>다양한 산업군 적용  <br>  <br>도입 전·후 고객 맞춤형 지원  <br>  <br>Enterprise Architecture 적용 흐름 (업무 시스템/원천 데이터 → Data Integration → 저장·통합 → 분석 Data Platform → BI·AI → 사용자 서비스 → 업무 자동화)  <br>  <br>RISE with SAP + Azure 연계 사례 (삼성물산: 국내 맞춤형 On-Premise ERP → 글로벌 표준 Cloud ERP, 이후 Power Platform 현장업무 개선·Azure 서비스 확장 기반)  <br>  <br>확인된 AX 성과 범주 (수작업·데이터 요청 감소, 분석·보고 적시성 향상, Self-Service 확대, 글로벌 프로세스 표준화, IT 운영효율 향상)  <br>  <br>확인된 비즈니스 효과 사례 (LG전자: 기업 내부 정형데이터 자연어 분석 적용 후 자료상 업무 생산성 30% 이상 향상)",기업/부서 현황·도입 목적 파악 → AI/Data 전략 수립 → End-to-End Roadmap → Multi-Cloud Data Platform/거버넌스 설계 → Power BI·Generative BI·Microsoft Azure OpenAI·Power Platform 등 적용 → 현업 활용/데이터 기반 의사결정 → 실무 교육 → 운영·기술지원·비용 최적화 → 지속 가능한 AX 확장 및 비즈니스 성과  <br>  <br>기업/부서 현황·도입 목적 파악 → ERP·MES·CRM·POS·SAP·HR·Excel·Legacy DB·문서 등 원천 파악 → ADF/SSIS 수집·Integration → Data Lake/Azure SQL/Cosmos DB 저장·통합 → Synapse/SSAS/Analysis Service/Data Mart 분석 기반 → Power BI/Azure ML/Azure OpenAI·BXG 분석 → Brain Portal/Embedded BI/Teams/Mobile 사용자 제공 → Power Apps/Power Automate 업무 실행·자동화 → 교육·운영·비용 최적화 → AX 확장,"AX Readiness Assessment (도입 전 기업 현황·준비도를 진단하는 단계와 밀접하나 자료에 명칭은 없음)  <br>PoC/Pilot (기업 규모·도입 목적에 맞춘 단계적 검증과 밀접하나 메인페이지에는 직접 명시되지 않음)  <br>Change Management (기술 도입 후 현업 정착·교육과 밀접하나 구체 방법론은 자료에 없음)  <br>KPI/ROI Measurement (비즈니스 성과를 확인하기 위한 지표 관리와 밀접하나 구체 지표는 자료에 없음)  <br>  <br>Enterprise Architecture Layering (성취 자료에서 7개 역할층이 관찰됨: 데이터 수집, 저장·통합, 분석 기반, BI, AI, 사용자 서비스, 업무 자동화)",unresolved,unresolved
XU00002,SRC001,2,4,62a2e485390e5b1a9cefed6f2f98218d1073169ef7ec12b33d0a1dfeabc8a4a2,AI / LLM Engineering,"LLM (OpenAI API, OpenAI LLM, RAG, Agentic RAG, Prompt Engineering, 질문 전처리, 응답 후처리, Parameter Tuning, Token, Latency)  <br>  <br>OpenAI API (LLM 연동, Prompt 구조 설계, 응답 최적화, Token·Latency 고려)  <br>  <br>OpenAI LLM (Teams AI 챗봇, 사내 문서 Q\&A, 미국 주식 차트 분석)  <br>  <br>RAG (문서 검색, 검색 엔진, LangChain, LlamaIndex, Qdrant, Vector DB, Prompt Engineering)  <br>  <br>Agentic RAG (RAG, 멀티스텝 추론, 문서 검색)  <br>  <br>Microsoft Azure OpenAI (Azure 기반 생성형 AI 연계, 기업 Data/AI 환경, Data Platform과의 연결 가능)  <br>  <br>GPT-4 (기아: 방대한 사내 자료 검색용 챗봇, Microsoft Teams 내 제공, 시나리오 기준 답변 정확도 80% 이상 향상)  <br>  <br>Private GPT (삼성물산·동국시스템즈: Azure 보안환경 내부 통합 GPT)  <br>  <br>Azure OpenAI + BXG (자연어 질문 → 의도 파악 → DB/Table/Column 선별 → Query → 전처리 → 계산·분석 → 자연어 답변·그래프)  <br>  <br>기업 정형데이터 자연어 분석 (DRB동일·HL만도·성우하이텍·흥아·SJG세종·CTR 계열, 이마트24, LG전자 사례)  <br>  <br>확인 효과 (데이터 엔지니어 의존 감소, 분석시간 단축, 비IT 현업 데이터 활용 증가; LG전자 업무 생산성 30% 이상 향상)  <br>  <br>Azure OpenAI / GPT-4 실제 활용 기능·업무 (자연어 이해, 질의응답, 문서검색, 답변 생성, 출처 기반 정보탐색; 사내 지식검색·문서검색·업무지원·기업데이터 질의)  <br>  <br>문서·지식 검색형 확인 효과 (검색시간 감소, 정보 접근성 향상, 자료 통합, 업무효율 향상)",기존 원본 흐름: 사용자 질문 → 질문 전처리·Reformatting → RAG/Agentic RAG → 문서 검색 → LLM Prompt 구성 → LLM 응답 → 후처리·요약 → 사용자 응답 → Parameter/Prompt 조정  <br>  <br>통합 확장 흐름: 사용자 질문/업무 요청 → 질문 전처리·Reformatting → RAG/Agentic RAG(해당 프로젝트) → 문서 검색·Context 구성 → LLM Prompt 구성 → OpenAI API/OpenAI LLM 또는 Microsoft Azure OpenAI 기반 생성형 AI → LLM 응답 → 후처리·요약 → 사용자/업무 시스템 응답 → Parameter/Prompt 조정  <br>  <br>사용자 자연어 질문 → [문서형] 사내 문서/자료 검색 → 관련 정보·출처 추출 → GPT-4/Azure OpenAI 답변 생성 → Teams/Private GPT 등으로 제공 OR [정형데이터형] 질문 의도 파악 → 필요한 DB·Table·Column 선택 → Query → 데이터 전처리·계산·분석 → 자연어 답변·그래프 → 현업 Self-Service 분석,Embedding Model (RAG·Vector DB에서 문서와 Query를 Vector화하기 위해 필요)  <br>Context Management (검색 문서와 질문을 LLM 입력으로 결합해야 함)  <br>LLM Evaluation (자료에서 응답 정확도·품질 개선을 반복하므로 비교 평가 필요)  <br>Enterprise Grounding (기업 Data Platform의 데이터를 생성형 AI에 안전하고 일관되게 연결하는 구조와 밀접하나 구체 구현은 자료에 없음)  <br>  <br>Schema Linking / Text-to-Query (BXG에서 Table·Column 선별 후 Query하는 구조와 밀접하지만 구체 구현방식·언어는 자료에 명시되지 않음)  <br>Source Citation/Grounding (문서검색형에서 출처 기반 정보탐색·필요 시 출처 제공이 확인됨),unresolved,unresolved
XU00003,SRC001,3,5,e52e9633e532e750b345ff870be564a9429304fb99e30fdc541e8380fe360b04,Information Retrieval / Search Engineering,"검색 엔진 (RAG 챗봇, 문서 검색, 질문 전처리, 검색 정확도)  <br>  <br>Vector Database (Qdrant, RAG, 검색 정확도)  <br>  <br>Qdrant (Vector DB, LangChain, LlamaIndex, RAG)  <br>  <br>문서 검색 (RAG, 사용자 질문, Q\&A)  <br>  <br>검색 정확도 개선 (LangChain, LlamaIndex, Qdrant, 질문 Reformatting)  <br>  <br>출처 기반 문서·지식 검색 (Azure OpenAI/GPT-4, 사내 문서·자료 검색, 필요한 정보 신속 탐색)  <br>  <br>Private 통합 GPT의 기업 내부 검색  <br>  <br>Brain Portal AI 기반 검색·요약 및 데이터 관련 문의 채널 통합 (SK텔레콤)  <br>  <br>확인 효과 (검색시간·탐색비용 감소, 정보 접근성 향상, 자료 통합, 업무효율 향상)",사용자 Query → Query 전처리 → 검색용 Query 재구성 → Vector DB 검색 → 관련 문서 Retrieval → RAG Context → LLM 답변  <br>  <br>사용자 질문/문의 → 문서·Portal/기업 Data Source 탐색 → 관련 정보 검색·추출 → 필요 시 출처 연결 → GPT/AI 요약·답변 → Teams/Brain Portal/Private GPT 등 사용자 Interface 제공,Document Chunking (긴 문서를 검색 가능한 단위로 분할해야 함)  <br>Document Parsing (문서를 검색 가능한 텍스트/구조로 변환해야 함)  <br>Similarity Search (Qdrant Vector 검색의 직접적인 검색 메커니즘)  <br>Top-k Retrieval (검색 결과 중 LLM에 전달할 관련 문서를 선별해야 함)  <br>Metadata Filtering (문서 범위를 제한해 검색 정확도를 높이는 데 밀접)  <br>  <br>Source Attribution (검색 결과의 근거·출처를 사용자에게 제시하는 계층과 직접 연결)  <br>Enterprise Search Federation (Brain Portal의 데이터 문의 채널 통합·AI 검색과 밀접하나 구체 검색엔진 구조는 자료에 없음),unresolved,unresolved
XU00004,SRC001,4,6,cb5dec44f1fd593075f76e18285311912001847ee493a00a30578c1d5e70a99e,Prompt Engineering,"Prompt Engineering (LLM, RAG, 출력 품질, Parameter Tuning)  <br>  <br>Prompt 구조 설계 (OpenAI API, 비즈니스 요구, 응답 최적화)  <br>  <br>질문 전처리 (GPT, 문서 검색, 검색 정확도)  <br>  <br>질문 Reformatting (모호·비정형 질문, GPT, 검색 정확도)  <br>  <br>LLM 응답 후처리 (출력 품질, 사용자 응답)  <br>  <br>Parameter Tuning (정확도, 응답 품질)  <br>  <br>BXG의 자연어 질문 의도 파악 단계 (DB/Table/Column 선택 및 Query 이전 단계는 직접 확인되나, 해당 단계가 Prompt Engineering으로 구현됐는지는 자료에서 특정되지 않음)  <br>  <br>문서검색형·정형데이터 분석형 처리로 이어지는 질의 해석 흐름 (처리 흐름은 직접 확인되나 Prompt 기반 분기 구현 여부는 미특정)",원본 사용자 질문 → 모호성/비정형성 처리 → Query Reformatting → Prompt 구성 → LLM 실행 → 출력 후처리 → 사용자 친화적 요약 → 결과 평가 → Prompt/Parameter 재조정  <br>  <br>원본 자연어 질문 → 질문 의도/분석 목적 파악(BXG 기능 흐름상 직접 확인) → [문서형] 검색 Query·Context 구성 또는 [데이터형] 필요한 Table/Column 선별·Query 구성 → Prompt Engineering이 적용되는 구간에서는 Prompt 구성/실행 → 답변·그래프/요약 → 결과 평가·조정,Prompt Template (반복 가능한 Prompt 구조 관리에 필요)  <br>Structured Output (LLM 결과를 Backend·자동화에 안정적으로 전달하기 위해 밀접)  <br>Evaluation Dataset (Prompt 변경 전후 품질 비교에 필요)  <br>Token Counting (자료에서 Token을 직접 고려 대상으로 명시)  <br>  <br>Intent Classification (질문 의도를 처리경로에 연결하는 구조와 밀접; Brain Portal에는 요청 유형 자동분류가 직접 확인되나 LLM Prompt 구현 여부는 자료에 없음),unresolved,unresolved
XU00005,SRC001,5,7,4eb4e577419af07b420a5feffe18b6dd8911631df018768282044e93987aee65,Machine Learning,"Machine Learning (AI 솔루션 개발, 모델 개발, 향후 교육)  <br>  <br>AI Model Development (머신러닝, 딥러닝, 데이터 엔지니어링)  <br>  <br>Model Optimization (MLflow, AI 모델, 성능)  <br>  <br>Model Deployment (MLflow, AI 모델, Databricks/Spark 데이터 처리)  <br>  <br>Azure Machine Learning / Azure ML (대덕전자 생산수율 예측)  <br>  <br>생산 데이터 기반 영향 인자 분석·변수 간 연관도 분석·생산수율 예측  <br>  <br>기존 경험·수기 중심 예측의 데이터화 및 예측 정확성 향상  <br>  <br>예측 결과의 BI/업무 적용",데이터 준비 → ML 모델 구축 → 성능 평가·최적화 → MLflow 활용 → 모델 배포 → 프로젝트 적용  <br>  <br>생산/업무 데이터 준비 → 영향 인자·변수 연관성 분석 → Azure ML 예측모델 → 생산수율 등 미래 결과 예측 → 예측 결과를 Power BI/업무에 제공 → 사용자 의사결정,"Train/Validation/Test Split (모델 개발·최적화 시 성능 검증 필요)  <br>Evaluation Metrics (최적화 여부 판단 필요)  <br>Feature/Data Preprocessing (모델 입력 데이터 준비에 직접 연결)  <br>Hyperparameter Tuning (모델 최적화와 밀접)  <br>  <br>Feature Importance/Correlation Analysis (자료에서 영향 인자·변수 연관도 분석이 직접 확인되며, 구체 알고리즘은 명시되지 않음)",unresolved,unresolved
XU00006,SRC001,6,8,fcdcb0414a831f43e9ba26777c23063bc1fc4dcefda38b5fcbc4127ac506f3fd,Deep Learning,"Deep Learning (AI 기술, Computer Vision, 이상 탐지)  <br>  <br>딥러닝 모델 개발 (Computer Vision, 이상 탐지, AI 모델 개발)  <br>  <br>Model Optimization (MLflow, 배포)",데이터 → 딥러닝 모델 개발 → CV 적용 → 이상 탐지 → 모델 최적화 → 배포,GPU Computing (딥러닝 학습·추론과 밀접하나 자료에는 Hardware가 명시되지 않음)  <br>Inference (개발된 모델을 실제 배포 환경에서 실행해야 함)  <br>Model Evaluation Metric (모델 최적화 판단에 필요),unresolved,unresolved
XU00007,SRC001,7,9,4dfcf2767bbd0dc8970cb6b99b09a1d0c240fbdab5140442ad40254855933663,Generative AI,"생성형 AI (AI 솔루션 개발, 백엔드 개발)  <br>  <br>LLM (OpenAI, RAG, Prompt Engineering)  <br>  <br>Copilot Studio (대화형 AI/Power Platform)  <br>  <br>PVA (대화형 Bot)  <br>  <br>Microsoft Azure OpenAI (생성형 AI 연계, Azure 기반 기업용 AI 환경)  <br>  <br>Data-connected Generative AI (AI를 위한 데이터 환경 통합 설계, Data Platform과 생성형 AI 연결)  <br>  <br>Generative BI (생성형 AI 기반 분석, 자연어로 Insight 도출)  <br>  <br>GPT-4 기반 문서·지식 검색형 생성 AI (기아 Teams 챗봇)  <br>  <br>Azure 보안환경 Private GPT (삼성물산·동국시스템즈)  <br>  <br>Azure OpenAI + BXG 정형데이터 분석형 생성 AI (자연어 질문을 DB Query·분석·답변·그래프로 연결)  <br>  <br>기업 데이터 질의응답·사내 통합 GPT·문서검색 챗봇  <br>  <br>LG전자 정형데이터 자연어 분석 업무 생산성 30% 이상 향상",기존 원본 흐름: 생성형 AI 기술 선정 → Backend 또는 Low-code 환경과 연동 → Prompt/대화 구조 구성 → 사용자 입력 처리 → 생성 결과 제공  <br>  <br>통합 확장 흐름: 기업 Data/업무 요구 → 생성형 AI 기술 선정 → Data Platform/Backend/Low-code 환경과 연동 → Microsoft Azure OpenAI·LLM/Prompt·대화 구조 구성 → 사용자 입력 처리 → 생성 결과 또는 자연어 Insight 생성 → BI·업무 App·Chat Interface 등에 제공  <br>  <br>기업 사용자 질문 → [지식검색] 문서 Retrieval/출처 기반 Context → GPT 답변 또는 [데이터분석] DB/Table/Column 선택 → Query/전처리/분석 → 자연어 답변·그래프 → Teams/Portal/업무환경에 제공 → 현업 Self-Service 활용,Guardrails (기업용 생성형 AI 출력 제어와 밀접)  <br>Structured Generation (업무 시스템과 생성 결과를 연결할 때 필요)  <br>Enterprise AI Governance (기업용 생성형 AI의 사용 정책·출력 통제와 밀접하나 구체 정책은 자료에 없음)  <br>  <br>Private AI Deployment Pattern (Azure 보안환경 내부에서 기업 전용 GPT를 운영하는 배치·접근통제 패턴과 밀접하나 상세 Network/Endpoint 구성은 자료에 없음),unresolved,unresolved
XU00008,SRC001,8,10,50d46f0e4656554b2e358a37f0d3355b59405a41cfcd17d4bbd7c2b7e6837329,BI / Generative BI,"Microsoft Power BI (Data & AI Platform의 BI/시각화 축)  <br>  <br>Generative BI (생성형 AI 기반 직관적 분석 환경)  <br>  <br>자연어 기반 Insight 도출 (사용자가 자연어로 분석 결과를 빠르게 획득)  <br>  <br>Data Visualization (Data Platform의 수집·분석 이후 시각화)  <br>  <br>Data-driven Decision Making (누구나 쉽게 활용 가능한 BI로 의사결정 가속)  <br>  <br>Microsoft Fabric 연계 Data/BI 환경 (메인페이지의 Data Platform 축에서 직접 제시되며, Multi-Cloud는 개별 Fabric 속성이 아니라 회사의 환경 제공 맥락)  <br>  <br>Power BI (Excel·PPT 수작업 보고를 자동 Dashboard로 전환, Dashboard·KPI·시각화·Drill-down·Self-Service BI·예측결과 표현)  <br>  <br>Power BI 실제 분석영역: 경영(전사/법인 실적, 계획 대비 실적), 재무·수익성(연결손익, 프로젝트/제품 수익성, 영업이익률, 매출차이), 생산(가동률, 수율, 제조원가, 생산계획), 품질(KPI, 글로벌 품질지표, Risk), 물류(Domestic/Import/Export, 물류비, 긴급물류비, 환율·수량·단가 차이), 영업·판매(POS·온/오프라인·매장별 판매, 수주잔량, Rolling Plan, Forecast), HR(구성원, 입퇴사, 휴가, 근로시간, 인건비, 평가), 고객·CRM(방문패턴, 객실선호, 서비스 이용, 판매원 실적), 게임(DAU, BU, 복귀율, 프로젝트 수익성)  <br>  <br>확인 효과 (보고 자동화, 작성시간 단축, 데이터 오류 감소·정합성 향상, 분석 적시성·의사결정 속도 향상, Self-Service 분석)  <br>  <br>Brain Portal/Embedded BI와 결합해 BI 콘텐츠를 Portal·업무시스템·모바일에 제공",Data Source → Data Platform(Databricks/Snowflake/Microsoft Fabric 등) → 데이터 분석·시각화 → Microsoft Power BI/Generative BI → 사용자 자연어 질의 또는 BI 탐색 → 생성형 AI 기반 Insight → 현업 사용자 → 데이터 기반 의사결정  <br>  <br>ERP/MES/CRM/POS/HR/Excel/Legacy Data → 자동 수집·처리 → Semantic/Analysis Model·KPI → Power BI Dashboard/Drill-down/Self-Service → 필요 시 Azure ML 예측결과 또는 Generative BI 자연어 Insight 표현 → Brain Portal/Embedded BI/Mobile을 통해 사용자 제공 → 의사결정,Semantic Model (Power BI/BI에서 비즈니스 의미를 일관되게 표현하는 계층과 밀접하나 자료에 직접 명시되지 않음)  <br>Natural Language to Query/NL2SQL (자연어로 Data Insight를 얻는 구현 방식 중 하나이나 구체 방식은 자료에 없음)  <br>KPI/Metric Layer (데이터 기반 의사결정을 위한 일관된 지표 정의와 밀접)  <br>Dashboard/Report Design (BI 시각화·사용성 구현과 밀접하나 구체 화면 설계는 자료에 없음)  <br>  <br>Row-Level/Hierarchical BI Security (Embedded BI에서 본인·하위조직 실적만 보도록 권한 통제한 사례와 밀접; 구체 구현기술은 자료에 없음),unresolved,unresolved
XU00009,SRC001,9,11,97a23278796dd2a142ba967fca876c5fbca63d49ac2892ad5d92daba72ddb9ad,BI Delivery / Portal / Embedded BI,"Brain Portal (Enterprise BI Portal: 여러 BI 보고서·데이터·사용자를 통합 관리·배포)  <br>  <br>사용자 관리 (등록·미등록 사용자, 사용자별 보고서, 조직/계층별 접근제어)  <br>  <br>콘텐츠 관리 (보고서 등록·수정·사전검토·신규 콘텐츠 생성·공유)  <br>  <br>데이터 접근 (Portal 조회, 모바일 보고서, Embedded BI, 사용자별 보고서)  <br>  <br>운영관리 (로그·권한·보고서 관리, 자동화 기능)  <br>  <br>SK텔레콤: 데이터 문의 채널 통합, 요청 유형 자동분류, AI 기반 검색·요약  <br>  <br>Embedded BI (기존 업무시스템/Portal/App 내부에 BI 삽입; 사내·판매원·협력사·외부·글로벌 사용자)  <br>  <br>한국암웨이: 수만 명 판매사 대상, 본인/하위조직 실적만 조회하도록 권한 통제  <br>  <br>Power BI Mobile / Teams 사용자 접점  <br>  <br>Brain Portal 실제 업무 (사내 데이터 Portal, 경영 Dashboard Portal, 모바일 보고, 사용자별 보고)  <br>  <br>Brain Portal 확인 효과 (BI 접근성 향상, 보고서 관리 중앙화, Self-Service 환경 확대)  <br>  <br>Embedded BI 핵심 기능 (Embedded Dashboard, 사용자별 화면, 권한 제어)  <br>  <br>Embedded BI 확인 효과 (대규모 사용자에게 BI 제공, 별도 BI 접속 없이 업무시스템 안에서 분석)",Power BI/분석 콘텐츠 생성 → Brain Portal에서 사용자·권한·콘텐츠·로그 관리 → 사용자별 Portal/Mobile 제공 또는 Embedded BI로 기존 업무시스템/App에 삽입 → 대규모/외부 사용자 접근 → AI 검색·요약/문의 → Self-Service 활용,Embedding SDK/API (업무시스템 내부 BI 삽입과 밀접하지만 구체 SDK는 자료에 없음)  <br>SSO/Federated Identity (Portal·외부/대규모 사용자 접근과 밀접하나 인증 방식은 자료에 없음)  <br>Content Approval Workflow (보고서 사전검토·배포와 밀접),unresolved,unresolved
XU00010,SRC001,10,12,b7df227475f8c0d86280c84400b1e37b382bf768f8ee4e06d05be7f5b9427b2c,Reporting / SSRS,"SSRS / SQL Server Reporting Services (한무컨벤션 사례)  <br>  <br>Paginated/정형 Report (정해진 형식, 표 중심, 정기 보고서, 출력 중심)  <br>  <br>호텔·경영 보고  <br>  <br>정형 보고 자동화","분석/업무 데이터 → 정해진 Report Template → SSRS 정형/Paginated Report 생성 → 정기 배포·출력 → 호텔/경영 사용자 확인  <br>  <br>역할 구분: 탐색형 경영 Dashboard는 Power BI, 정형·출력 중심 보고서는 SSRS",Report Scheduling/Subscription (정기 보고서 배포와 밀접하지만 자료에 기능명이 직접 명시되지 않음)  <br>Print/PDF Export (출력 중심 Reporting과 밀접하나 구체 포맷은 자료에 없음),unresolved,unresolved
