TechnologyKey,TechnologyId,TechnologyName,CategoryName,ArchitectureLayer,LayerOrder,EvidenceType,SourceId
1,T0001,3D Asset Optimization (HoloLens 같은 Device에서 3D Model을 원활히 실행하기 위해 중요),Spatial Content,Unmapped,,,SRC001
2,T0002,3D Coordinate/Transform (위치·회전·크기 조정 필요),Spatial Content,Unmapped,,,SRC001
3,T0003,"3D Model (MR Content, Meta-Solution)",Spatial Content,Unmapped,,,SRC001
4,T0004,3D Rendering (3D Model 표시에 필요),Mixed Reality,Unmapped,,,SRC001
5,T0005,"AI Model Development (머신러닝, 딥러닝, 데이터 엔지니어링)",Machine Learning,Unmapped,,,SRC001
6,T0006,AI Model Serving (향후 교육 영역으로 명시),MLOps,Unmapped,,,SRC001
7,T0007,"AI Transformation (AI 전략 수립, 도입, 교육까지 AI 전환 전 과정 지원)",AI Transformation / AX Consulting,Unmapped,,,SRC001
8,T0008,"AI 업무 요약 (LLM, Teams)",Workflow Automation,Unmapped,,,SRC001
9,T0009,AI 전략 수립·도입과 연계된 AI 교육 (AI Transformation의 전 과정 지원),Technical Education,Unmapped,,,SRC001
10,T0010,AI를 위한 데이터 환경 통합 설계,Data Platform / Analytics Infrastructure,Unmapped,,,SRC001
11,T0011,AI를 위한 데이터 환경 통합 설계 (Data Platform → Generative AI/Analytics 연계),Data Engineering,Unmapped,,,SRC001
12,T0012,API Connector (Low-code App과 외부 시스템 연동에 필요),Low-code Development,Unmapped,,,SRC001
13,T0013,API Integration (DB·Backend·AI·Teams 연결에 밀접),Enterprise Integration,Unmapped,,,SRC001
14,T0014,APM/Observability (Latency·Resource·Error 지속 측정에 밀접),Performance Engineering,Unmapped,,,SRC001
15,T0015,ASGI (FastAPI 비동기 실행 구조),Backend Engineering,Unmapped,,,SRC001
16,T0016,"AWS (배포 자동화, 모델 배포, Serverless)",Cloud Engineering,Unmapped,,,SRC001
17,T0017,"AX (산업과 부서를 넘어 확장, 비즈니스 성과 지향)",AI Transformation / AX Consulting,Unmapped,,,SRC001
18,T0018,AX Readiness Assessment (도입 전 기업 현황·준비도를 진단하는 단계와 밀접하나 자료에 명칭은 없음),AI Transformation / AX Consulting,Unmapped,,,SRC001
19,T0019,Access Control (인사·휴가 정보 접근 제한 필요),Privacy / Enterprise Security / Data Handling,Unmapped,,,SRC001
20,T0020,Access Policy/RBAC (보안·Governance를 구현하는 대표 통제 방식이나 구체 구현은 자료에 없음),Data Governance,Unmapped,,,SRC001
21,T0021,Action (Workflow 단계별 실행 작업),Workflow Automation,Unmapped,,,SRC001
22,T0022,Action (대화에서 실제 업무 기능 호출),Conversational Application,Unmapped,,,SRC001
23,T0023,Adoption Analytics (도입 이후 실제 활용·정착 수준을 파악하는 데 밀접하나 구체 지표는 자료에 없음),User-centered / Iterative Development,Unmapped,,,SRC001
24,T0024,"Agentic RAG (RAG, 멀티스텝 추론, 문서 검색)",AI / LLM Engineering,Unmapped,,,SRC001
25,T0025,Aggregation (Spark),Data Engineering,Unmapped,,,SRC001
26,T0026,Alerting (자동화 실패를 담당자가 인지하기 위해 필요),Reliability / Human-error Prevention,Unmapped,,,SRC001
27,T0027,Alerting (장애를 즉시 인지하기 위한 체계와 밀접),Cloud Operations / Technical Support,Unmapped,,,SRC001
28,T0028,"Anomaly Detection (CV, Deep Learning, 모델 배포)",Computer Vision,Unmapped,,,SRC001
29,T0029,Anomaly Score (이상 정도를 수치화하는 구조와 밀접),Anomaly Detection,Unmapped,,,SRC001
30,T0030,"Apache Spark (데이터 로딩, 변환, 필터링, 집계, SQL, 분산처리, 메모리, 클러스터)",Data Engineering,Unmapped,,,SRC001
31,T0031,Approval State Machine (승인 단계·상태 전이를 관리하는 구조와 밀접하지만 구체 구현은 자료에 없음),Workflow Automation,Unmapped,,,SRC001
32,T0032,Async I/O (API·DB 호출 대기시간 활용),Async Programming,Unmapped,,,SRC001
33,T0033,Audit/Compliance Logging (Enterprise Data/Cloud 보안 운영과 밀접하나 자료에 직접 명시되지 않음),Privacy / Enterprise Security / Data Handling,Unmapped,,,SRC001
34,T0034,Authentication/API Key (OpenAI·Cloud API 접근에 필요),Backend Engineering,Unmapped,,,SRC001
35,T0035,Authentication/Authorization (사내 Data 접근권한 관리와 밀접),Privacy / Enterprise Security / Data Handling,Unmapped,,,SRC001
36,T0036,Autoscaling (수요에 따라 자원을 조정하는 방식과 밀접하지만 자료에는 없음),Cost Optimization,Unmapped,,,SRC001
37,T0037,"Azure (배포 자동화, 모델 배포, Serverless, MLOps/CI-CD)",Cloud Engineering,Unmapped,,,SRC001
38,T0038,Azure Analysis Service (모두투어·한국암웨이 등),Semantic Modeling / OLAP,Unmapped,,,SRC001
39,T0039,"Azure Data Factory / ADF (Cloud 데이터 Integration, 다중 시스템 데이터 수집·이동 자동화, 정기 ETL/ELT; OCI·태림포장 사례)",Data Integration / ETL,Unmapped,,,SRC001
