TechnologyId,TechnologyName
T0001,3D Asset Optimization (HoloLens 같은 Device에서 3D Model을 원활히 실행하기 위해 중요)
T0002,3D Coordinate/Transform (위치·회전·크기 조정 필요)
T0003,"3D Model (MR Content, Meta-Solution)"
T0004,3D Rendering (3D Model 표시에 필요)
T0005,"AI Model Development (머신러닝, 딥러닝, 데이터 엔지니어링)"
T0006,AI Model Serving (향후 교육 영역으로 명시)
T0007,"AI Transformation (AI 전략 수립, 도입, 교육까지 AI 전환 전 과정 지원)"
T0008,"AI 업무 요약 (LLM, Teams)"
T0009,AI 전략 수립·도입과 연계된 AI 교육 (AI Transformation의 전 과정 지원)
T0010,AI를 위한 데이터 환경 통합 설계
T0011,AI를 위한 데이터 환경 통합 설계 (Data Platform → Generative AI/Analytics 연계)
T0012,API Connector (Low-code App과 외부 시스템 연동에 필요)
T0013,API Integration (DB·Backend·AI·Teams 연결에 밀접)
T0014,APM/Observability (Latency·Resource·Error 지속 측정에 밀접)
T0015,ASGI (FastAPI 비동기 실행 구조)
T0016,"AWS (배포 자동화, 모델 배포, Serverless)"
T0017,"AX (산업과 부서를 넘어 확장, 비즈니스 성과 지향)"
T0018,AX Readiness Assessment (도입 전 기업 현황·준비도를 진단하는 단계와 밀접하나 자료에 명칭은 없음)
T0019,Access Control (인사·휴가 정보 접근 제한 필요)
T0020,Access Policy/RBAC (보안·Governance를 구현하는 대표 통제 방식이나 구체 구현은 자료에 없음)
T0021,Action (Workflow 단계별 실행 작업)
T0022,Action (대화에서 실제 업무 기능 호출)
T0023,Adoption Analytics (도입 이후 실제 활용·정착 수준을 파악하는 데 밀접하나 구체 지표는 자료에 없음)
T0024,"Agentic RAG (RAG, 멀티스텝 추론, 문서 검색)"
T0025,Aggregation (Spark)
T0026,Alerting (자동화 실패를 담당자가 인지하기 위해 필요)
T0027,Alerting (장애를 즉시 인지하기 위한 체계와 밀접)
T0028,"Anomaly Detection (CV, Deep Learning, 모델 배포)"
T0029,Anomaly Score (이상 정도를 수치화하는 구조와 밀접)
T0030,"Apache Spark (데이터 로딩, 변환, 필터링, 집계, SQL, 분산처리, 메모리, 클러스터)"
T0031,Approval State Machine (승인 단계·상태 전이를 관리하는 구조와 밀접하지만 구체 구현은 자료에 없음)
T0032,Async I/O (API·DB 호출 대기시간 활용)
T0033,Audit/Compliance Logging (Enterprise Data/Cloud 보안 운영과 밀접하나 자료에 직접 명시되지 않음)
T0034,Authentication/API Key (OpenAI·Cloud API 접근에 필요)
T0035,Authentication/Authorization (사내 Data 접근권한 관리와 밀접)
T0036,Autoscaling (수요에 따라 자원을 조정하는 방식과 밀접하지만 자료에는 없음)
T0037,"Azure (배포 자동화, 모델 배포, Serverless, MLOps/CI-CD)"
T0038,Azure Analysis Service (모두투어·한국암웨이 등)
T0039,"Azure Data Factory / ADF (Cloud 데이터 Integration, 다중 시스템 데이터 수집·이동 자동화, 정기 ETL/ELT; OCI·태림포장 사례)"
T0040,"Azure Data Factory / ADF (ERP·MES·CRM·POS·HR·Legacy DB 등 다중 원천 수집, 데이터 이동 자동화, 정기 ETL/ELT; OCI·태림포장 수동 수집 자동화 사례)"
T0041,Azure Data Factory → Azure Data Lake Gen2 → Synapse Analytics/Azure SQL/Analysis Service → Power BI/Brain Portal/AI 구조
T0042,Azure Data Factory/SSIS를 통한 시스템 간 데이터 수집·이동
T0043,Azure Data Factory·Data Lake Gen2·Synapse Analytics·Azure SQL·Azure Analysis Service 등 Azure Data Platform 구성
T0044,Azure Data Lake Gen2 (ERP·CRM·MES·HR·매출·생산 등 이기종 데이터 중앙집중 저장)
T0045,Azure Data Lake Gen2 (분산된 ERP·CRM·MES·HR·매출·생산 데이터 중앙집중 저장)
T0046,Azure Data Platform (ERP·MES·CRM·POS·HR·Legacy DB 데이터를 수집·통합·저장해 BI/AI 분석기반 구축)
T0047,"Azure Data Platform 실제 업무 (전사 데이터 통합, 경영정보, 생산·재고·HR·수익성 분석)"
T0048,Azure Data Platform을 통한 데이터 정합성 확보 및 수작업 데이터 수집 제거
T0049,"Azure DevOps Pipeline (코드 리뷰, 병렬 개발, 배포 자동화)"
T0050,Azure Machine Learning / Azure ML (대덕전자 생산수율 예측)
T0051,Azure OpenAI + BXG (자연어 질문 → 의도 파악 → DB/Table/Column 선별 → Query → 전처리 → 계산·분석 → 자연어 답변·그래프)
T0052,Azure OpenAI + BXG 정형데이터 분석형 생성 AI (자연어 질문을 DB Query·분석·답변·그래프로 연결)
T0053,"Azure OpenAI / GPT-4 실제 활용 기능·업무 (자연어 이해, 질의응답, 문서검색, 답변 생성, 출처 기반 정보탐색; 사내 지식검색·문서검색·업무지원·기업데이터 질의)"
T0054,Azure OpenAI/GPT 문서검색의 검색·탐색시간 감소
T0055,"Azure SQL DB (정형 데이터 저장·Query, AI/BI 서비스 Data Backend)"
T0056,Azure SQL DB / Cosmos DB (AI·BI 서비스용 정형/비정형 Data Backend)
T0057,"Azure SQL DB / Cosmos DB 기반 AI·BI Data Backend (정형/비정형 데이터 저장·조회, Query, 실시간/분석 데이터 제공)"
T0058,Azure 기반 서비스 확장 기반
T0059,Azure 및 Cloud 환경 실시간 대응 체계
T0060,Azure 보안환경 Private GPT
T0061,Azure 보안환경 Private GPT (삼성물산·동국시스템즈)
T0062,BI Capacity/Concurrency Planning (수만 명 사용자 Embedded BI 제공과 밀접하나 구체 Capacity 구성은 자료에 없음)
T0063,BXG 데이터 분석형 Backend 흐름 (질문 해석 → DB/Table/Column 선택 → Query → 전처리·계산·분석 → 답변/그래프)
T0064,"BXG의 자연어 질문 의도 파악 단계 (DB/Table/Column 선택 및 Query 이전 단계는 직접 확인되나, 해당 단계가 Prompt Engineering으로 구현됐는지는 자료에서 특정되지 않음)"
T0065,"Backend Development (AI 기술, LLM, Cloud)"
T0066,Backup/DR (기업 데이터 저장계층의 운영 안정성과 밀접하나 자료에 직접 명시되지 않음)
T0067,Benchmarking (기존 기술 대비 신규 기술의 효과 비교에 필요)
T0068,Brain Portal (Enterprise BI Portal: 여러 BI 보고서·데이터·사용자를 통합 관리·배포)
T0069,Brain Portal AI 기반 검색·요약 및 데이터 관련 문의 채널 통합 (SK텔레콤)
T0070,Brain Portal 권한관리·사용자 등록/미등록 사용자 관리·조직/계층별 접근제어·로그 관리
T0071,Brain Portal 데이터 문의 채널 통합
T0072,Brain Portal 보고서 사전검토·로그·권한관리
T0073,Brain Portal 사용자별 보고서·모바일 보고·데이터 조회
T0074,"Brain Portal 실제 업무 (사내 데이터 Portal, 경영 Dashboard Portal, 모바일 보고, 사용자별 보고)"
T0075,Brain Portal 조직/계층별 접근제어·권한관리·사용자 관리·로그 관리
T0076,"Brain Portal 확인 효과 (BI 접근성 향상, 보고서 관리 중앙화, Self-Service 환경 확대)"
T0077,Brain Portal/Embedded BI와 결합해 BI 콘텐츠를 Portal·업무시스템·모바일에 제공
T0078,"Branch 기반 개발 (실험 기능 테스트, 병렬 개발)"
T0079,CDC/Incremental Load (정기 ETL/ELT·데이터 이동 자동화와 밀접하지만 자료에 직접 명시되지 않음)
T0080,"CI/CD Pipeline (배포 자동화, Cloud)"
T0081,CV Evaluation Metrics (이상 탐지 정확도 평가 필요)
T0082,Cache/Persist (Spark의 Memory 기반 처리와 직접 연결)
T0083,Certified Architecture Practice (Specialization/Partner 자격과 밀접하나 내부 표준은 자료에 없음)
T0084,Change Management (기술 도입 후 현업 정착·교육과 밀접하나 구체 방법론은 자료에 없음)
T0085,Citizen Development Governance (현업 중심 Low-code 확산 시 권한·환경·배포 관리와 밀접하나 자료에는 구체 체계가 없음)
T0086,Cloud Compute (Backend·AI 실행 자원)
T0087,Cloud Governance (Multi-Cloud 환경의 표준·정책·관리와 밀접하나 구체 체계는 자료에 없음)
T0088,Cloud Infrastructure (Backend/AI Deployment)
T0089,Cloud Networking (서비스 간 통신)
T0090,Cloud Storage (모델·데이터·Artifact 저장)
T0091,Cloud 기반 Data Platform Infrastructure (데이터 수집·분석·시각화 및 지속 가능한 AX 전환 지원)
T0092,Cloud 중심 Data Integration 사례에서 ADF 기반 정기 데이터 이동·자동화
T0093,"Cluster (Spark, Computing Resource, 비용)"
T0094,Cluster 비용 (Spark)
T0095,"Code Review (Azure DevOps Pipeline, 협업)"
T0096,"Compute Resource (Spark, Cluster)"
T0097,"Computer Vision (Deep Learning, 이상 탐지)"
T0098,"Computer Vision 이상 탐지 교육 (Deep Learning, 개발, 배포)"
T0099,Computing Resource 비용 (Spark)
T0100,Concurrency (여러 I/O 작업을 효율적으로 처리해야 함)
T0101,Condition (상황에 따른 분기)
T0102,Connector (DB·Teams·외부 서비스 연결)
T0103,Connector/API Integration (Bot과 Backend·DB·업무 시스템 연결)
T0104,Content Approval Workflow (보고서 사전검토·배포와 밀접)
T0105,Content Lifecycle Governance (보고서 등록·수정·사전검토·공유 절차와 밀접)
T0106,Context Management (검색 문서와 질문을 LLM 입력으로 결합해야 함)
T0107,Conversation Flow (대화 단계 구성에 필요)
T0108,Conversation Memory/Session Context (연속 질의형 Chat Interface와 밀접하지만 자료에 직접 명시되지 않음)
T0109,"Copilot Studio (Power Platform, PVA, 대화형 기능)"
T0110,Copilot Studio (대화형 AI/Power Platform)
T0111,Coroutine (Python asyncio 비동기 작업 단위)
T0112,"Cosmos DB (정형/비정형 데이터 저장·조회, AI/BI Data Backend)"
T0113,Cost Monitoring (Cloud/Cluster 비용을 지속적으로 측정해야 함)
T0114,DAX/MDX (Measure·다차원 Query와 밀접하지만 자료에 사용 언어는 명시되지 않음)
T0115,"DB 계층 실제 업무 (AI 데이터 분석, 수익성·경영·게임 데이터)"
T0116,DB 계층 역할 (AI/BI 서비스의 데이터 Backend 역할)
T0117,Dashboard/Report Design (BI 시각화·사용성 구현과 밀접하나 구체 화면 설계는 자료에 없음)
T0118,"Data & AI 통합 연계 (데이터와 AI를 하나의 흐름으로 연결, AI를 위한 데이터 환경까지 통합 설계)"
T0119,Data Catalog (Governance에서 Data Asset을 탐색·관리하는 기능과 밀접하나 제품은 자료에 없음)
T0120,Data Governance (실시간 분석과 함께 End-to-End Roadmap에 포함)
T0121,Data Lake / Data Warehouse (Azure Data Platform의 저장·통합 계층)
T0122,"Data Lake, Data Warehouse, Data Mart, 통합 데이터 모델"
T0123,Data Lake/Lakehouse/Data Warehouse (Databricks·Snowflake·Fabric 기반 Data Platform Architecture와 밀접하나 구체 구성은 자료에 없음)
T0124,Data Lineage (데이터 흐름·변환 이력 추적과 밀접하나 자료에 직접 명시되지 않음)
T0125,Data Loading (Spark)
T0126,Data Mapping (이기종 Source 간 필드·Schema 대응에 필요)
T0127,Data Mart (Synapse 기반 BI용 분석 구조)
T0128,Data Minimization (자료에서 실제로 불필요한 개인정보를 제거함)
T0129,Data Observability (전사 Data Platform의 상태·품질 모니터링과 밀접하나 자료에 직접 명시되지 않음)
T0130,Data Orchestration (수집부터 분석까지의 반복 데이터 흐름을 관리하는 계층과 밀접하나 구체 도구는 자료에 없음)
T0131,Data Pipeline/Orchestration (수집부터 분석까지의 흐름을 자동화·관리하는 계층과 밀접)
T0132,Data Platform (데이터 수집부터 분석·시각화까지 비즈니스 맞춤형 Platform 구현)
