extract_record_id,source_id,source_row_number,source_line_number,source_row_sha256,category_raw,flow_cell_raw,architecture_layer_resolution_status
XA00001,SRC001,1,3,305d1f1492f53a431ec0951ff3379e77d3b8f9732de2586943af5bed8273717b,AI Transformation / AX Consulting,기업/부서 현황·도입 목적 파악 → AI/Data 전략 수립 → End-to-End Roadmap → Multi-Cloud Data Platform/거버넌스 설계 → Power BI·Generative BI·Microsoft Azure OpenAI·Power Platform 등 적용 → 현업 활용/데이터 기반 의사결정 → 실무 교육 → 운영·기술지원·비용 최적화 → 지속 가능한 AX 확장 및 비즈니스 성과  <br>  <br>기업/부서 현황·도입 목적 파악 → ERP·MES·CRM·POS·SAP·HR·Excel·Legacy DB·문서 등 원천 파악 → ADF/SSIS 수집·Integration → Data Lake/Azure SQL/Cosmos DB 저장·통합 → Synapse/SSAS/Analysis Service/Data Mart 분석 기반 → Power BI/Azure ML/Azure OpenAI·BXG 분석 → Brain Portal/Embedded BI/Teams/Mobile 사용자 제공 → Power Apps/Power Automate 업무 실행·자동화 → 교육·운영·비용 최적화 → AX 확장,unresolved
XA00002,SRC001,2,4,62a2e485390e5b1a9cefed6f2f98218d1073169ef7ec12b33d0a1dfeabc8a4a2,AI / LLM Engineering,기존 원본 흐름: 사용자 질문 → 질문 전처리·Reformatting → RAG/Agentic RAG → 문서 검색 → LLM Prompt 구성 → LLM 응답 → 후처리·요약 → 사용자 응답 → Parameter/Prompt 조정  <br>  <br>통합 확장 흐름: 사용자 질문/업무 요청 → 질문 전처리·Reformatting → RAG/Agentic RAG(해당 프로젝트) → 문서 검색·Context 구성 → LLM Prompt 구성 → OpenAI API/OpenAI LLM 또는 Microsoft Azure OpenAI 기반 생성형 AI → LLM 응답 → 후처리·요약 → 사용자/업무 시스템 응답 → Parameter/Prompt 조정  <br>  <br>사용자 자연어 질문 → [문서형] 사내 문서/자료 검색 → 관련 정보·출처 추출 → GPT-4/Azure OpenAI 답변 생성 → Teams/Private GPT 등으로 제공 OR [정형데이터형] 질문 의도 파악 → 필요한 DB·Table·Column 선택 → Query → 데이터 전처리·계산·분석 → 자연어 답변·그래프 → 현업 Self-Service 분석,unresolved
XA00003,SRC001,3,5,e52e9633e532e750b345ff870be564a9429304fb99e30fdc541e8380fe360b04,Information Retrieval / Search Engineering,사용자 Query → Query 전처리 → 검색용 Query 재구성 → Vector DB 검색 → 관련 문서 Retrieval → RAG Context → LLM 답변  <br>  <br>사용자 질문/문의 → 문서·Portal/기업 Data Source 탐색 → 관련 정보 검색·추출 → 필요 시 출처 연결 → GPT/AI 요약·답변 → Teams/Brain Portal/Private GPT 등 사용자 Interface 제공,unresolved
XA00004,SRC001,4,6,cb5dec44f1fd593075f76e18285311912001847ee493a00a30578c1d5e70a99e,Prompt Engineering,원본 사용자 질문 → 모호성/비정형성 처리 → Query Reformatting → Prompt 구성 → LLM 실행 → 출력 후처리 → 사용자 친화적 요약 → 결과 평가 → Prompt/Parameter 재조정  <br>  <br>원본 자연어 질문 → 질문 의도/분석 목적 파악(BXG 기능 흐름상 직접 확인) → [문서형] 검색 Query·Context 구성 또는 [데이터형] 필요한 Table/Column 선별·Query 구성 → Prompt Engineering이 적용되는 구간에서는 Prompt 구성/실행 → 답변·그래프/요약 → 결과 평가·조정,unresolved
XA00005,SRC001,5,7,4eb4e577419af07b420a5feffe18b6dd8911631df018768282044e93987aee65,Machine Learning,데이터 준비 → ML 모델 구축 → 성능 평가·최적화 → MLflow 활용 → 모델 배포 → 프로젝트 적용  <br>  <br>생산/업무 데이터 준비 → 영향 인자·변수 연관성 분석 → Azure ML 예측모델 → 생산수율 등 미래 결과 예측 → 예측 결과를 Power BI/업무에 제공 → 사용자 의사결정,unresolved
XA00006,SRC001,6,8,fcdcb0414a831f43e9ba26777c23063bc1fc4dcefda38b5fcbc4127ac506f3fd,Deep Learning,데이터 → 딥러닝 모델 개발 → CV 적용 → 이상 탐지 → 모델 최적화 → 배포,unresolved
XA00007,SRC001,7,9,4dfcf2767bbd0dc8970cb6b99b09a1d0c240fbdab5140442ad40254855933663,Generative AI,기존 원본 흐름: 생성형 AI 기술 선정 → Backend 또는 Low-code 환경과 연동 → Prompt/대화 구조 구성 → 사용자 입력 처리 → 생성 결과 제공  <br>  <br>통합 확장 흐름: 기업 Data/업무 요구 → 생성형 AI 기술 선정 → Data Platform/Backend/Low-code 환경과 연동 → Microsoft Azure OpenAI·LLM/Prompt·대화 구조 구성 → 사용자 입력 처리 → 생성 결과 또는 자연어 Insight 생성 → BI·업무 App·Chat Interface 등에 제공  <br>  <br>기업 사용자 질문 → [지식검색] 문서 Retrieval/출처 기반 Context → GPT 답변 또는 [데이터분석] DB/Table/Column 선택 → Query/전처리/분석 → 자연어 답변·그래프 → Teams/Portal/업무환경에 제공 → 현업 Self-Service 활용,unresolved
XA00008,SRC001,8,10,50d46f0e4656554b2e358a37f0d3355b59405a41cfcd17d4bbd7c2b7e6837329,BI / Generative BI,Data Source → Data Platform(Databricks/Snowflake/Microsoft Fabric 등) → 데이터 분석·시각화 → Microsoft Power BI/Generative BI → 사용자 자연어 질의 또는 BI 탐색 → 생성형 AI 기반 Insight → 현업 사용자 → 데이터 기반 의사결정  <br>  <br>ERP/MES/CRM/POS/HR/Excel/Legacy Data → 자동 수집·처리 → Semantic/Analysis Model·KPI → Power BI Dashboard/Drill-down/Self-Service → 필요 시 Azure ML 예측결과 또는 Generative BI 자연어 Insight 표현 → Brain Portal/Embedded BI/Mobile을 통해 사용자 제공 → 의사결정,unresolved
XA00009,SRC001,9,11,97a23278796dd2a142ba967fca876c5fbca63d49ac2892ad5d92daba72ddb9ad,BI Delivery / Portal / Embedded BI,Power BI/분석 콘텐츠 생성 → Brain Portal에서 사용자·권한·콘텐츠·로그 관리 → 사용자별 Portal/Mobile 제공 또는 Embedded BI로 기존 업무시스템/App에 삽입 → 대규모/외부 사용자 접근 → AI 검색·요약/문의 → Self-Service 활용,unresolved
XA00010,SRC001,10,12,b7df227475f8c0d86280c84400b1e37b382bf768f8ee4e06d05be7f5b9427b2c,Reporting / SSRS,"분석/업무 데이터 → 정해진 Report Template → SSRS 정형/Paginated Report 생성 → 정기 배포·출력 → 호텔/경영 사용자 확인  <br>  <br>역할 구분: 탐색형 경영 Dashboard는 Power BI, 정형·출력 중심 보고서는 SSRS",unresolved
